movie_id,person_id,name,job,department
872,9055,Arthur Freed,Producer,Production
872,13294,Gene Kelly,Director,Directing
872,197796,Betty Comden,Screenplay,Writing
3780,34373,Ryuzo Kikushima,Producer,Production
3780,18604,Tomoyuki Tanaka,Producer,Production
3780,5026,Akira Kurosawa,Director,Directing
3780,18609,Masaru Satō,Original Music Composer,Sound
3780,34373,Ryuzo Kikushima,Screenplay,Writing
3780,5026,Akira Kurosawa,Screenplay,Writing
3780,20827,Hideo Oguni,Screenplay,Writing
3780,34372,Masato Ide,Screenplay,Writing
592350,1848327,Yoshihiro Oyabu,Producer,Production
592350,2419817,Wakana Okamura,Producer,Production
592350,3035984,Koji Nagai,Producer,Production
592350,2213120,Kazumasa Sanjouba,Producer,Production
592350,1307036,Kenji Nagasaki,Director,Directing
592350,116681,Yosuke Kuroda,Screenplay,Writing
592350,1505059,Yuki Hayashi,Original Music Composer,Sound
606856,1092705,Tom Flynn,Screenplay,Writing
606856,29017,Kim Zubick,Producer,Production
606856,21673,Ericson Core,Director,Directing
606856,4140,Mark Isham,Original Music Composer,Sound
666,8574,Walter Salles,Director,Directing
666,10030,Marcos Bernstein,Screenplay,Writing
666,10031,João Emanuel Carneiro,Screenplay,Writing
666,8574,Walter Salles,Screenplay,Writing
666,10032,Arthur Cohn,Producer,Production
666,10034,Jack Gajos,Producer,Production
666,10035,Paulo Carlos De Brito,Producer,Production
666,10039,Jaques Morelenbaum,Original Music Composer,Sound
666,8576,Antonio Pinto,Original Music Composer,Sound
666,8574,Walter Salles,Producer,Production
666,228772,Martine De Clermont-Tonnerre,Producer,Production
103,12432,Julia Phillips,Producer,Production
103,1045,Bernard Herrmann,Original Music Composer,Sound
103,12433,Michael Phillips,Producer,Production
103,1032,Martin Scorsese,Director,Directing
935,8950,Terry Southern,Screenplay,Writing
935,240,Stanley Kubrick,Director,Directing
935,14250,Peter George,Screenplay,Writing
935,257,Victor Lyndon,Producer,Production
935,240,Stanley Kubrick,Producer,Production
935,240,Stanley Kubrick,Screenplay,Writing
935,14252,Laurie Johnson,Original Music Composer,Sound
458220,3571930,Terlan Mirzeyev,Original Music Composer,Sound
458220,26473,Fisher Stevens,Director,Directing
458220,2384869,Daniel Nadler,Producer,Production
458220,52989,John Penotti,Producer,Production
458220,53070,Charlie Corwin,Producer,Production
458220,7408,Charles B. Wessler,Producer,Production
458220,35180,Sidney Kimmel,Producer,Production
20914,32375,Mario Monicelli,Director,Directing
20914,1186408,Carlo Nebiolo,Producer,Production
20914,69973,Piero De Bernardi,Screenplay,Writing
20914,29500,Carlo Rustichelli,Original Music Composer,Sound
20914,5396,Tullio Pinelli,Screenplay,Writing
20914,4664,Leonardo Benvenuti,Screenplay,Writing
20914,95040,Pietro Germi,Screenplay,Writing
20914,3539794,Andrea Rizzoli,Producer,Production
600,240,Stanley Kubrick,Director,Directing
600,8643,Michael Herr,Screenplay,Writing
600,240,Stanley Kubrick,Screenplay,Writing
600,8642,Gustav Hasford,Screenplay,Writing
600,240,Stanley Kubrick,Producer,Production
600,8645,Vivian Kubrick,Original Music Composer,Sound
575813,2250469,Hank Lee,Original Music Composer,Sound
575813,111299,Jojo Hui Yuet-Chun,Producer,Production
575813,125105,Derek Tsang Kwok-Cheung,Director,Directing
575813,2531438,Varqa Buehrer,Original Music Composer,Sound
500,2545,Lawrence Bender,Producer,Production
500,138,Quentin Tarantino,Director,Directing
1103621,931440,Thodsapon Thiptinnakorn,Screenplay,Writing
1103621,2730142,Pat Boonnitipat,Screenplay,Writing
1103621,2792728,Jaithep Raroengjai,Original Music Composer,Sound
1103621,2730142,Pat Boonnitipat,Director,Directing
1103621,1118827,Jira Maligool,Producer,Production
1103621,225153,Vanridee Pongsittisak,Producer,Production
810693,2617399,Alisa Okehazama,Original Music Composer,Sound
810693,2264366,Sunghoo Park,Director,Directing
810693,1491863,Hiroshi Seko,Screenplay,Writing
810693,1493763,Hiroaki Tsutsumi,Original Music Composer,Sound
810693,2645698,Yoshimasa Terui,Original Music Composer,Sound
810693,2797758,Hiroaki Matsutani,Producer,Production
810693,2799167,Masaya Saito,Producer,Production
810693,2797759,Yuriha Murai,Producer,Production
810693,1777147,Makoto Kimura,Producer,Production
810693,3286696,Tatsuya Omori,Producer,Production
810693,1816778,Toshihiro Maeda,Producer,Production
810693,3286707,Tatsuro Hayashi,Producer,Production
810693,2652974,Akifumi Fujio,Producer,Production
810693,2814144,Atsushi Takahashi,Producer,Production
810693,2800859,Kazutaka Yamanaka,Producer,Production
829402,1459464,Tom Knott,Producer,Production
829402,1453540,Shannon Tindle,Director,Directing
829402,1571952,Scot Blackwell Stafford,Original Music Composer,Sound
829402,89028,Lisa M. Poole,Producer,Production
422,5397,Ennio Flaiano,Screenplay,Writing
422,5396,Tullio Pinelli,Screenplay,Writing
422,5678,Brunello Rondi,Screenplay,Writing
422,5679,Angelo Rizzoli,Producer,Production
422,3098,Nino Rota,Original Music Composer,Sound
422,4415,Federico Fellini,Director,Directing
422,4415,Federico Fellini,Screenplay,Writing
406997,55177,Marcelo Zarvos,Original Music Composer,Sound
406997,19311,Stephen Chbosky,Director,Directing
406997,31710,David Hoberman,Producer,Production
406997,62758,Todd Lieberman,Producer,Production
406997,20647,Steven Conrad,Screenplay,Writing
406997,19311,Stephen Chbosky,Screenplay,Writing
406997,207132,Jack Thorne,Screenplay,Writing
46738,137427,Denis Villeneuve,Director,Directing
46738,970214,Valérie Beaugrand-Champagne,Screenplay,Writing
46738,137427,Denis Villeneuve,Screenplay,Writing
46738,963927,Kim McCraw,Producer,Production
46738,57069,Grégoire Hetzel,Original Music Composer,Sound
46738,2389036,Luc Déry,Producer,Production
531428,68813,Céline Sciamma,Director,Directing
531428,68819,Bénédicte Couvreur,Producer,Production
531428,68820,Para One,Original Music Composer,Sound
531428,1951152,Arthur Simonini,Original Music Composer,Sound
531428,68813,Céline Sciamma,Screenplay,Writing
38288,32245,Arturo Brachetti,Director,Directing
38288,120024,Paolo Guerra,Producer,Production
146233,137427,Denis Villeneuve,Director,Directing
146233,74038,Kira Davis,Producer,Production
146233,47285,Broderick Johnson,Producer,Production
146233,1122643,Adam Kolbrenner,Producer,Production
146233,47286,Andrew A. Kosove,Producer,Production
146233,117992,Jóhann Jóhannsson,Original Music Composer,Sound
1398,28081,Aleksandra Demidova,Producer,Production
1398,8452,Andrei Tarkovsky,Director,Directing
1398,8452,Andrei Tarkovsky,Screenplay,Writing
1398,560802,Eduard Artemyev,Original Music Composer,Sound
103663,141883,Tobias Lindholm,Screenplay,Writing
103663,4453,Thomas Vinterberg,Screenplay,Writing
103663,4453,Thomas Vinterberg,Producer,Production
103663,1560,Morten Kaufmann,Producer,Production
103663,1015,Sisse Graum Jørgensen,Producer,Production
103663,4453,Thomas Vinterberg,Director,Directing
103663,73486,Nikolaj Egelund,Original Music Composer,Sound
600354,1150548,Florian Zeller,Director,Directing
600354,2305930,Simon Friend,Producer,Production
600354,20062,David Parfitt,Producer,Production
600354,50516,Philippe Carcassonne,Producer,Production
600354,1150548,Florian Zeller,Screenplay,Writing
600354,2305929,Christophe Spadone,Producer,Production
600354,55921,Jean-Louis Livi,Producer,Production
600354,12952,Christopher Hampton,Screenplay,Writing
600354,70526,Ludovico Einaudi,Original Music Composer,Sound
100,959,David A. Hughes,Original Music Composer,Sound
100,957,Matthew Vaughn,Producer,Production
100,956,Guy Ritchie,Screenplay,Writing
100,960,John Murphy,Original Music Composer,Sound
100,956,Guy Ritchie,Director,Directing
823219,1328012,Gints Zilbalodis,Original Music Composer,Sound
823219,1130169,Ron Dyens,Producer,Production
823219,1328012,Gints Zilbalodis,Director,Directing
823219,1328012,Gints Zilbalodis,Producer,Production
823219,1105426,Matīss Kaža,Producer,Production
823219,2553500,Rihards Zaļupe,Original Music Composer,Sound
823219,1957819,Gregory Zalcman,Producer,Production
823219,1105426,Matīss Kaža,Screenplay,Writing
823219,1328012,Gints Zilbalodis,Screenplay,Writing
823219,1957818,Alon Knoll,Producer,Production
